table,project,sponsors,link
???,Analog Squared Effect Processing & Arduino Synthesizer,FINRA Music Challenge,http://bitcamp16.devpost.com/submissions/52307-analog-squared-effect-processing-arduino-synthesizer
51A,The Hyper Train,Oculus Best Use of VR,http://bitcamp16.devpost.com/submissions/52308-the-hyper-train
53A,roombacontroller,"Booz Allen Hamilton's Best Internet of Things (IoT) Hack, Northrop Grumman Best User Interface Utilizes Hardware and Software ",http://bitcamp16.devpost.com/submissions/52310-roombacontroller
???,DapMe,BookHolders Best App/Program Using Internet Sourced Data,http://bitcamp16.devpost.com/submissions/52318-dapme
38B,Korrect.me,"Math Works Best Hack Using MATLAB, MLH Best Domain Name from Domain.com, FINRA Music Challenge, BookHolders Best App/Program Using Internet Sourced Data, Best Hack to Serve College Park , MLH Best Developer Tool, MLH Best Beginner Hack",http://bitcamp16.devpost.com/submissions/52323-korrect-me
???,SumCrossword,BookHolders Best App/Program Using Internet Sourced Data,http://bitcamp16.devpost.com/submissions/52326-sumcrossword
???,EvMe,,http://bitcamp16.devpost.com/submissions/52327-evme
???,BananaOS,"MLH Best Use of AWS, MLH Best Domain Name from Domain.com, BookHolders Longest Stack Name (Make your own stack, ex. RaspberryLinuxNginxMongoPythonFlask â€œRLNMPFâ€ù!), MLH Best Developer Tool, MLH Best Beginner Hack",http://bitcamp16.devpost.com/submissions/52330-bananaos
???,Flying web server,Booz Allen Hamilton's Best Internet of Things (IoT) Hack,http://bitcamp16.devpost.com/submissions/52332-flying-web-server
46C,International Normalized Ratio Tester for a pi 2,"TCS Tech Talk Raffle, BookHolders Longest Stack Name (Make your own stack, ex. RaspberryLinuxNginxMongoPythonFlask â€œRLNMPFâ€ù!)",http://bitcamp16.devpost.com/submissions/52333-international-normalized-ratio-tester-for-a-pi-2
???,Proximity Print,"Best Hack to Serve College Park , MLH Best Beginner Hack",http://bitcamp16.devpost.com/submissions/52334-proximity-print
37A,InstaHealth,"MLH Best Use of AWS, Booz Allen Hamilton's Best Internet of Things (IoT) Hack, BookHolders Longest Stack Name (Make your own stack, ex. RaspberryLinuxNginxMongoPythonFlask â€œRLNMPFâ€ù!), Best Use of the SparkPost API, Northrop Grumman Best User Interface Utilizes Hardware and Software , BookHolders Best App/Program Using Internet Sourced Data, Best Hack to Serve College Park ",http://bitcamp16.devpost.com/submissions/52335-instahealth
???,WallStreetSymphony,"Math Works Best Hack Using MATLAB, FINRA Music Challenge, BookHolders Best App/Program Using Internet Sourced Data, MLH Best Beginner Hack",http://bitcamp16.devpost.com/submissions/52336-wallstreetsymphony
36D,Ridiculous Rift - Table 36,,http://bitcamp16.devpost.com/submissions/52337-ridiculous-rift-table-36
???,High Frequency Audio: Musically Rendered Market Data.,"FINRA Music Challenge, BookHolders Best App/Program Using Internet Sourced Data, MLH Best Beginner Hack",http://bitcamp16.devpost.com/submissions/52338-high-frequency-audio-musically-rendered-market-data
???,CogniWave,"Booz Allen Hamilton's Best Internet of Things (IoT) Hack, BookHolders Longest Stack Name (Make your own stack, ex. RaspberryLinuxNginxMongoPythonFlask â€œRLNMPFâ€ù!), Best Use of the SparkPost API, Northrop Grumman Best User Interface Utilizes Hardware and Software , OPIS Best Visualization of Hardware Collected Data, Best Hack to Serve College Park , MLH Best Developer Tool",http://bitcamp16.devpost.com/submissions/52339-cogniwave
42B,MU$IC,FINRA Music Challenge,http://bitcamp16.devpost.com/submissions/52340-mu-ic
???,ScheduleMe,"Booz Allen Hamilton's Best Internet of Things (IoT) Hack, Best Hack to Serve College Park , MLH Best Beginner Hack",http://bitcamp16.devpost.com/submissions/52342-scheduleme
???,Out and About,"TCS Tech Talk Raffle, MLH Best Use of AWS, Best use of Capital One's API, MLH Best Domain Name from Domain.com, BookHolders Longest Stack Name (Make your own stack, ex. RaspberryLinuxNginxMongoPythonFlask â€œRLNMPFâ€ù!), BookHolders Best App/Program Using Internet Sourced Data, Best Hack to Serve College Park , MLH Best Developer Tool, MLH Best Beginner Hack",http://bitcamp16.devpost.com/submissions/52344-out-and-about
???,DevImpact,MLH Best Beginner Hack,http://bitcamp16.devpost.com/submissions/52352-devimpact
???,WordMark,"MLH Best Use of AWS, Best Use of the SparkPost API, Cipher Tech's Best Digital Forensics Related Hack",http://bitcamp16.devpost.com/submissions/52355-wordmark
